identity_key,company,title,location,country,first_seen,last_seen,status,repost_count
"maico diagnostics gmbh|dsp engineer (f/m/d)|berlin, germany|germany","MAICO Diagnostics GmbH","DSP Engineer (f/m/d)","Berlin, Germany","Germany","2026-09-09","2026-09-24","active","0"
"university of rostock|research assistant — energy-efficient signal processing for electrically active implants|rostock, germany|germany","University of Rostock","Research Assistant — Energy-Efficient Signal Processing for Electrically Active Implants","Rostock, Germany","Germany","2026-09-09","2026-09-24","active","0"
"charité — universitätsmedizin berlin|phd student — physiological signal processing for clinical decision support|berlin, germany|germany","Charité — Universitätsmedizin Berlin","PhD Student — Physiological Signal Processing for Clinical Decision Support","Berlin, Germany","Germany","2026-09-09","2026-09-24","expired","0"
"siemens healthineers|embedded softwareentwickler*in (w/m/d) — x-ray generators|forchheim, germany|germany","Siemens Healthineers","Embedded Softwareentwickler*in (w/m/d) — X-ray Generators","Forchheim, Germany","Germany","2026-09-09","2026-09-24","active","0"
"boston scientific|electrophysiology field clinical specialist graduate — germany|jena / erfurt / leipzig / ilmenau / berlin, germany|germany","Boston Scientific","Electrophysiology Field Clinical Specialist Graduate — Germany","Jena / Erfurt / Leipzig / Ilmenau / Berlin, Germany","Germany","2026-09-09","2026-09-24","closed","0"
"max planck school of biomedical ai / max planck institute of biochemistry|25 phd positions — max planck school of biomedical ai|germany-wide participating research groups|germany","Max Planck School of Biomedical AI / Max Planck Institute of Biochemistry","25 PhD Positions — Max Planck School of Biomedical AI","Germany-wide participating research groups","Germany","2026-09-10","2026-09-24","active","0"
"karlsruhe institute of technology (kit)|phd student / research associate — development of miniaturized electrodes in a microfluidic system|eggenstein-leopoldshafen / karlsruhe, germany|germany","Karlsruhe Institute of Technology (KIT)","PhD Student / Research Associate — Development of Miniaturized Electrodes in a Microfluidic System","Eggenstein-Leopoldshafen / Karlsruhe, Germany","Germany","2026-09-10","2026-09-24","excluded","0"
"helmut-schmidt-universität / universität der bundeswehr hamburg|research assistant — professorship for signal processing for medical applications (sigma)|hamburg, germany|germany","Helmut-Schmidt-Universität / Universität der Bundeswehr Hamburg","Research Assistant — Professorship for Signal Processing for Medical Applications (SigMA)","Hamburg, Germany","Germany","2026-09-12","2026-09-24","active","0"
"robert bosch gmbh|phd — development of a highly sensitive nv-diamond magnetic field sensor|renningen, germany|germany","Robert Bosch GmbH","PhD — Development of a Highly Sensitive NV-Diamond Magnetic Field Sensor","Renningen, Germany","Germany","2026-09-12","2026-09-24","excluded","0"
"eindhoven university of technology (tu/e)|phd — microfluidic contact lenses for controlled tear collection and analysis|eindhoven, netherlands|netherlands","Eindhoven University of Technology (TU/e)","PhD — Microfluidic Contact Lenses for Controlled Tear Collection and Analysis","Eindhoven, Netherlands","Netherlands","2026-09-12","2026-09-24","excluded","0"
"corify care / universitat politècnica de valència|cdtnet phd fellowship f1 — non-invasive electro-anatomical mapping to inform arrhythmia optimal ablation|spain (madrid / valencia research pathway)|spain","Corify Care / Universitat Politècnica de València","CDTnet PhD Fellowship F1 — Non-invasive Electro-Anatomical Mapping to Inform Arrhythmia Optimal Ablation","Spain (Madrid / Valencia research pathway)","Spain","2026-09-12","2026-09-24","active","0"
"cochlear technology centre belgium / ku leuven|dc01 phd — digital twin for micro-laser welding of titanium for active medical implants|mechelen, belgium|belgium","Cochlear Technology Centre Belgium / KU Leuven","DC01 PhD — Digital Twin for Micro-Laser Welding of Titanium for Active Medical Implants","Mechelen, Belgium","Belgium","2026-09-12","2026-09-24","excluded","0"
"universidade do minho / cmems|research fellowship for master degree holder — radio4breast|guimarães, portugal|portugal","Universidade do Minho / CMEMS","Research Fellowship for Master Degree Holder — Radio4Breast","Guimarães, Portugal","Portugal","2026-09-12","2026-09-24","excluded","0"
"johnson & johnson medtech|class of 2027 global operations leadership development program — europe (gold)|multiple sites across germany, belgium, netherlands, france, ireland, italy and switzerland|europe","Johnson & Johnson MedTech","Class of 2027 Global Operations Leadership Development Program — Europe (GOLD)","Multiple sites across Germany, Belgium, Netherlands, France, Ireland, Italy and Switzerland","Europe","2026-09-12","2026-09-24","excluded","0"
"johnson & johnson medtech / depuy synthes|2027 graduate process engineer — orthopedics|ringaskiddy, cork, ireland|ireland","Johnson & Johnson MedTech / DePuy Synthes","2027 Graduate Process Engineer — Orthopedics","Ringaskiddy, Cork, Ireland","Ireland","2026-09-12","2026-09-24","excluded","0"
"ferchau gmbh niederlassung stuttgart mobility|junior entwicklungsingenieur medizintechnik (m/w/d)|böblingen, germany|germany","FERCHAU GmbH Niederlassung Stuttgart Mobility","Junior Entwicklungsingenieur Medizintechnik (m/w/d)","Böblingen, Germany","Germany","2026-09-12","2026-09-24","excluded","0"
"stryker gmbh & co. kg|graduate program, ingenieur (m/w/d) produktionsprozesse, medizintechnik|schönkirchen, germany|germany","Stryker GmbH & Co. KG","Graduate Program, Ingenieur (m/w/d) Produktionsprozesse, Medizintechnik","Schönkirchen, Germany","Germany","2026-09-12","2026-09-24","excluded","0"
"böhme medizintechnik gmbh|absolvent/in medizintechnik oder elektrotechnik|peißen, saxony-anhalt, germany|germany","Böhme Medizintechnik GmbH","Absolvent/in Medizintechnik oder Elektrotechnik","Peißen, Saxony-Anhalt, Germany","Germany","2026-09-12","2026-09-24","active","0"
"medsoto gmbh|junior polarion alm engineer (m/w/d) — medizintechnik|pfungstadt, germany (hybrid)|germany","Medsoto GmbH","Junior Polarion ALM Engineer (m/w/d) — Medizintechnik","Pfungstadt, Germany (hybrid)","Germany","2026-09-12","2026-09-24","excluded","0"
"ferchau gmbh|junior softwareentwickler embedded c / c++ / c# (m/w/d)|kassel, germany|germany","FERCHAU GmbH","Junior Softwareentwickler Embedded C / C++ / C# (m/w/d)","Kassel, Germany","Germany","2026-09-13","2026-09-24","active","0"
"charité — universitätsmedizin berlin|research associate — early childhood language development, audiology and phoniatrics|berlin, germany|germany","Charité — Universitätsmedizin Berlin","Research Associate — Early Childhood Language Development, Audiology and Phoniatrics","Berlin, Germany","Germany","2026-09-13","2026-09-24","excluded","0"
"ottobock se & co. kgaa|electronics engineer — mechatronic actuated systems (d/w/m)|duderstadt, germany|germany","Ottobock SE & Co. KGaA","Electronics Engineer — Mechatronic Actuated Systems (d/w/m)","Duderstadt, Germany","Germany","2026-09-13","2026-09-24","excluded","0"
"technische hochschule mannheim|projektingenieur*in als akademische*n mitarbeiter*in für digitale systeme und interventionsplattformen (w/m/d)|mannheim, germany|germany","Technische Hochschule Mannheim","Projektingenieur*in als Akademische*n Mitarbeiter*in für Digitale Systeme und Interventionsplattformen (w/m/d)","Mannheim, Germany","Germany","2026-09-14","2026-09-24","expired","0"
"cnrs / université côte d’azur|phd student in biomedical signal processing — graph characterization of multipolar electrograms in persistent atrial fibrillation|valbonne, france|france","CNRS / Université Côte d’Azur","PhD Student in Biomedical Signal Processing — Graph Characterization of Multipolar Electrograms in Persistent Atrial Fibrillation","Valbonne, France","France","2026-09-14","2026-09-24","active","0"
"kth royal institute of technology|phd students in computer vision to estimate breathing and pulse from video|stockholm, sweden|sweden","KTH Royal Institute of Technology","PhD Students in Computer Vision to Estimate Breathing and Pulse from Video","Stockholm, Sweden","Sweden","2026-09-14","2026-09-24","active","0"
"robert bosch gmbh|phd — development of a novel lab-on-a-chip component for the analysis and sorting of single cells|renningen, germany|germany","Robert Bosch GmbH","PhD — Development of a Novel Lab-on-a-Chip Component for the Analysis and Sorting of Single Cells","Renningen, Germany","Germany","2026-09-14","2026-09-24","excluded","0"
"robert bosch gmbh|phd — lab on chip sample preparation for next-generation molecular diagnostics|renningen, germany|germany","Robert Bosch GmbH","PhD — Lab on Chip Sample Preparation for Next-Generation Molecular Diagnostics","Renningen, Germany","Germany","2026-09-14","2026-09-24","excluded","0"
"robert bosch gmbh|phd — safety contracts for physical ai|renningen, germany|germany","Robert Bosch GmbH","PhD — Safety Contracts for Physical AI","Renningen, Germany","Germany","2026-09-14","2026-09-24","excluded","0"
"technische hochschule mannheim|doktorand*in agentic ai in medical image analysis (w/m/d)|mannheim, germany|germany","Technische Hochschule Mannheim","Doktorand*in Agentic AI in Medical Image Analysis (w/m/d)","Mannheim, Germany","Germany","2026-09-14","2026-09-24","excluded","0"
"stryker gmbh & co. kg|multiple stryker medtech engineering internships — spring 2027|freiburg / schönkirchen / tuttlingen, germany|germany","Stryker GmbH & Co. KG","Multiple Stryker MedTech Engineering Internships — Spring 2027","Freiburg / Schönkirchen / Tuttlingen, Germany","Germany","2026-09-14","2026-09-24","excluded","0"
