employer,employer_key,careers_url,ats_vendor,tier
"Alcon / WaveLight GmbH","alcon-wavelight-gmbh","","","T3"
"B. Braun Group","b-braun-group","","","T3"
"Boston Scientific","boston-scientific","","","T3"
"Böhme Medizintechnik GmbH","b-hme-medizintechnik-gmbh","","","T3"
"CNRS / Université Côte d’Azur","cnrs-universit-c-te-d-azur","","","T3"
"Charité — Universitätsmedizin Berlin","charit-universit-tsmedizin-berlin","","","T3"
"Cochlear Technology Centre Belgium / KU Leuven","cochlear-technology-centre-belgium-ku-leuven","","","T3"
"Corify Care / Universitat Politècnica de València","corify-care-universitat-polit-cnica-de-val-ncia","","","T3"
"Eindhoven University of Technology (TU/e)","eindhoven-university-of-technology-tu-e-","","","T3"
"FERCHAU GmbH","ferchau-gmbh","","","T3"
"FERCHAU GmbH Niederlassung Stuttgart Mobility","ferchau-gmbh-niederlassung-stuttgart-mobility","","","T3"
"Fresenius Health Services","fresenius-health-services","","","T3"
"Helmut-Schmidt-Universität / Universität der Bundeswehr Hamburg","helmut-schmidt-universit-t-universit-t-der-bundeswehr-hamburg","","","T3"
"Johnson & Johnson MedTech","johnson-johnson-medtech","","","T3"
"Johnson & Johnson MedTech / DePuy Synthes","johnson-johnson-medtech-depuy-synthes","","","T3"
"KTH Royal Institute of Technology","kth-royal-institute-of-technology","","","T3"
"Karlsruhe Institute of Technology (KIT)","karlsruhe-institute-of-technology-kit-","","","T3"
"MAICO Diagnostics GmbH","maico-diagnostics-gmbh","","","T3"
"Max Planck School of Biomedical AI / Max Planck Institute of Biochemistry","max-planck-school-of-biomedical-ai-max-planck-institute-of-biochemistry","","","T3"
"Medsoto GmbH","medsoto-gmbh","","","T3"
"Ottobock SE & Co. KGaA","ottobock-se-co-kgaa","","","T3"
"Robert Bosch GmbH","robert-bosch-gmbh","","","T3"
"Siemens Healthineers","siemens-healthineers","","","T3"
"Stryker","stryker","","","T3"
"Stryker GmbH & Co. KG","stryker-gmbh-co-kg","","","T3"
"Technische Hochschule Mannheim","technische-hochschule-mannheim","","","T3"
"Universidade do Minho / CMEMS","universidade-do-minho-cmems","","","T3"
"University of Rostock","university-of-rostock","","","T3"
"SLG Prüf- und Zertifizierungs GmbH","slg-pruf-und-zertifizierungs-gmbh","https://www.slg.de.com/de/unternehmen/jobs-karriere.html","direct","T2"
"Nicolay GmbH","nicolay-gmbh","https://www.nicolay.de","direct","T3"
"betatron bio GmbH","betatron-bio-gmbh","https://betatron.bio","direct","T3"
"DEKRA","dekra","https://careers.dekra.com","direct","T2"
"TÜV Rheinland","tuv-rheinland","https://jobs.tuv.com","direct","T2"
"Weltzentrum der Medizintechnik (WDM)","wdm-employer-universe","https://wdm.world/jobs","regional-specialist","T1"
"Life Science Nord","life-science-nord","https://www.lifesciencenord.de/en/career/job-board.html","regional-specialist","T2"
"Medical Valley EMN","medical-valley-emn","https://www.medical-valley-emn.de/","cluster","T2"
"HealthCapital Berlin-Brandenburg","healthcapital-berlin-brandenburg","https://www.healthcapital.de/","cluster","T2"
"SPECTARIS","spectaris-employer-universe","https://www.spectaris.de/","association-directory","T2"
"VDGH","vdgh-employer-universe","https://www.vdgh.de/en/vdgh/member-companies/","association-directory","T2"
"BVMed","bvmed-employer-universe","https://www.bvmed.de/","association-directory","T2"
"WQS Management Consultants GmbH","wqs-management-consultants","https://wqs.de/wqs-jobs/","direct","T2"
"KBR GmbH / ESA Space Medicine Team","kbr-gmbh-esa-space-medicine","https://kbr.wd5.myworkdayjobs.com/en-US/kbr_careers","direct","T1"
"Ovesco Endoscopy AG","ovesco-endoscopy-ag","https://www.ovesco.com/","direct","T3"
"ERBE Elektromedizin GmbH","erbe-elektromedizin-gmbh","https://en.erbegroup.com/en-en/jobs/","direct","T1"
"Becton Dickinson (BD)","becton-dickinson-bd","https://jobs.bd.com/","workday","T1"
"Medtronic","medtronic","https://medtronic.wd1.myworkdayjobs.com/MedtronicCareers","workday","T1"
"INTU Diagnostics GmbH","intu-diagnostics-gmbh","https://www.intudiagnostics.com/","direct","T2"
"SINGULUS TECHNOLOGIES AG","singulus-technologies-ag","https://singulus.career.softgarden.de/","softgarden","T2"
"Agaplesion / AMTech","agaplesion-amtech","https://agaplesion-jobs.softgarden.io/de/vacancies","softgarden","T2"
